-39: Binary = , Hexadecimal = 
-36: Binary = , Hexadecimal = 
8: Binary = 1000, Hexadecimal = 8
34: Binary = 100010, Hexadecimal = 22
17: Binary = 10001, Hexadecimal = 11
49: Binary = 110001, Hexadecimal = 31
5: Binary = 101, Hexadecimal = 5
39: Binary = 100111, Hexadecimal = 27
0: Binary = 0, Hexadecimal = 0
33: Binary = 100001, Hexadecimal = 21
12: Binary = 1100, Hexadecimal = C
-6: Binary = , Hexadecimal = 
27: Binary = 11011, Hexadecimal = 1B
-4: Binary = , Hexadecimal = 
-38: Binary = , Hexadecimal = 
26: Binary = 11010, Hexadecimal = 1A
49: Binary = 110001, Hexadecimal = 31
29: Binary = 11101, Hexadecimal = 1D
42: Binary = 101010, Hexadecimal = 2A
-16: Binary = , Hexadecimal = 
-28: Binary = , Hexadecimal = 
34: Binary = 100010, Hexadecimal = 22
20: Binary = 10100, Hexadecimal = 14
0: Binary = 0, Hexadecimal = 0
25: Binary = 11001, Hexadecimal = 19
45: Binary = 101101, Hexadecimal = 2D
3: Binary = 11, Hexadecimal = 3
-46: Binary = , Hexadecimal = 
-46: Binary = , Hexadecimal = 
29: Binary = 11101, Hexadecimal = 1D
33: Binary = 100001, Hexadecimal = 21
29: Binary = 11101, Hexadecimal = 1D
26: Binary = 11010, Hexadecimal = 1A
-5: Binary = , Hexadecimal = 
-36: Binary = , Hexadecimal = 
12: Binary = 1100, Hexadecimal = C
45: Binary = 101101, Hexadecimal = 2D
-50: Binary = , Hexadecimal = 
0: Binary = 0, Hexadecimal = 0
-6: Binary = , Hexadecimal = 
-39: Binary = , Hexadecimal = 
35: Binary = 100011, Hexadecimal = 23
26: Binary = 11010, Hexadecimal = 1A
-35: Binary = , Hexadecimal = 
-42: Binary = , Hexadecimal = 
14: Binary = 1110, Hexadecimal = E
-3: Binary = , Hexadecimal = 
22: Binary = 10110, Hexadecimal = 16
-47: Binary = , Hexadecimal = 
12: Binary = 1100, Hexadecimal = C
-17: Binary = , Hexadecimal = 
-31: Binary = , Hexadecimal = 
-25: Binary = , Hexadecimal = 
-35: Binary = , Hexadecimal = 
-18: Binary = , Hexadecimal = 
14: Binary = 1110, Hexadecimal = E
37: Binary = 100101, Hexadecimal = 25
-8: Binary = , Hexadecimal = 
-41: Binary = , Hexadecimal = 
-50: Binary = , Hexadecimal = 
-9: Binary = , Hexadecimal = 
2: Binary = 10, Hexadecimal = 2
12: Binary = 1100, Hexadecimal = C
-39: Binary = , Hexadecimal = 
-17: Binary = , Hexadecimal = 
0: Binary = 0, Hexadecimal = 0
27: Binary = 11011, Hexadecimal = 1B
28: Binary = 11100, Hexadecimal = 1C
45: Binary = 101101, Hexadecimal = 2D
-44: Binary = , Hexadecimal = 
28: Binary = 11100, Hexadecimal = 1C
35: Binary = 100011, Hexadecimal = 23
-33: Binary = , Hexadecimal = 
43: Binary = 101011, Hexadecimal = 2B
-4: Binary = , Hexadecimal = 
23: Binary = 10111, Hexadecimal = 17
-49: Binary = , Hexadecimal = 
49: Binary = 110001, Hexadecimal = 31
-7: Binary = , Hexadecimal = 
-38: Binary = , Hexadecimal = 
-45: Binary = , Hexadecimal = 
5: Binary = 101, Hexadecimal = 5
-21: Binary = , Hexadecimal = 
26: Binary = 11010, Hexadecimal = 1A
-2: Binary = , Hexadecimal = 
-24: Binary = , Hexadecimal = 
6: Binary = 110, Hexadecimal = 6
-45: Binary = , Hexadecimal = 
-4: Binary = , Hexadecimal = 
15: Binary = 1111, Hexadecimal = F
0: Binary = 0, Hexadecimal = 0
-17: Binary = , Hexadecimal = 
-35: Binary = , Hexadecimal = 
43: Binary = 101011, Hexadecimal = 2B
45: Binary = 101101, Hexadecimal = 2D
-35: Binary = , Hexadecimal = 
-8: Binary = , Hexadecimal = 
28: Binary = 11100, Hexadecimal = 1C
47: Binary = 101111, Hexadecimal = 2F
34: Binary = 100010, Hexadecimal = 22
-24: Binary = , Hexadecimal = 
-42: Binary = , Hexadecimal = 
-13: Binary = , Hexadecimal = 
14: Binary = 1110, Hexadecimal = E
-45: Binary = , Hexadecimal = 
-35: Binary = , Hexadecimal = 
27: Binary = 11011, Hexadecimal = 1B
-12: Binary = , Hexadecimal = 
-19: Binary = , Hexadecimal = 
-20: Binary = , Hexadecimal = 
